checkpoint_name = '20250130_212344' #cerd, all, reconstruction =.5
Average BLEU for sequence length 1: 0.6570625088251612
Average BLEU for sequence length 2: 0.6116509595905641
Average BLEU for sequence length 3: 0.5816590336398803
Average BLEU for sequence length 4: 0.5486904798933424
Average BLEU for sequence length 5: 0.5322759864865215
Average BLEU for sequence length 6: 0.5164381775191362
Average BLEU for sequence length 7: 0.5044715628665042
Average BLEU for sequence length 8: 0.48298359497899596
Average BLEU for sequence length 9: 0.48769560978742627
Average BLEU for sequence length 10: 0.48650524320838756
Average BLEU for sequence length 11: 0.47314527133349527
Average BLEU for sequence length 12: 0.45759173077877696
Average BLEU for sequence length 13: 0.4683921355019088
Average BLEU for sequence length 14: 0.46750351447103666
Average BLEU for sequence length 15: 0.45552045304207023
Average BLEU for sequence length 16: 0.46862578029713015
Average BLEU for sequence length 17: 0.4472246163409432
Average BLEU for sequence length 18: 0.41566415985138544
Average BLEU for sequence length 19: 0.39340380094196087
Average BLEU for sequence length 20: 0.3864968935801483
Average BLEU for sequence length 21: 0.3740782059341455
Average BLEU for sequence length 22: 0.3193802163466465
Average BLEU for sequence length 23: 0.1738591286400779
checkpoint_name = '20250130_212343' #cerd, all, reconstruction = 1
Average BLEU for sequence length 1: 0.6683090479275982
Average BLEU for sequence length 2: 0.6189322338496385
Average BLEU for sequence length 3: 0.5855316877981017
Average BLEU for sequence length 4: 0.5489598473836428
Average BLEU for sequence length 5: 0.5390296138653045
Average BLEU for sequence length 6: 0.525755990879792
Average BLEU for sequence length 7: 0.5224227410729911
Average BLEU for sequence length 8: 0.50053908161742
Average BLEU for sequence length 9: 0.5088443266871925
Average BLEU for sequence length 10: 0.5031857503255095
Average BLEU for sequence length 11: 0.5001332205205047
Average BLEU for sequence length 12: 0.492138126936897
Average BLEU for sequence length 13: 0.49772396126525165
Average BLEU for sequence length 14: 0.4959813087323003
Average BLEU for sequence length 15: 0.490455772361533
Average BLEU for sequence length 16: 0.48160372898833426
Average BLEU for sequence length 17: 0.456785544167014
Average BLEU for sequence length 18: 0.4369554054361581
Average BLEU for sequence length 19: 0.4150317758151278
Average BLEU for sequence length 20: 0.41547772681135753
Average BLEU for sequence length 21: 0.4127193169090912
Average BLEU for sequence length 22: 0.37098048216864343
Average BLEU for sequence length 23: 0.27705966028407175
checkpoint_name = '20250130_213807' #cerd, all, reconstruction = 1.5
Average BLEU for sequence length 1: 0.6654169125535659
Average BLEU for sequence length 2: 0.6148265596285599
Average BLEU for sequence length 3: 0.5793416491401441
Average BLEU for sequence length 4: 0.546520952111774
Average BLEU for sequence length 5: 0.5366004343732774
Average BLEU for sequence length 6: 0.5195894766294588
Average BLEU for sequence length 7: 0.5102407633662199
Average BLEU for sequence length 8: 0.4913358419897126
Average BLEU for sequence length 9: 0.5025518061245958
Average BLEU for sequence length 10: 0.5035762020546676
Average BLEU for sequence length 11: 0.49537938938598
Average BLEU for sequence length 12: 0.4896081409062709
Average BLEU for sequence length 13: 0.48638111550682694
Average BLEU for sequence length 14: 0.4874594637794508
Average BLEU for sequence length 15: 0.48782817158957575
Average BLEU for sequence length 16: 0.483202168928194
Average BLEU for sequence length 17: 0.4575189084826283
Average BLEU for sequence length 18: 0.43737086687012466
Average BLEU for sequence length 19: 0.4192763982403444
Average BLEU for sequence length 20: 0.4207603872132819
Average BLEU for sequence length 21: 0.41546512505180533
Average BLEU for sequence length 22: 0.37098048216864343
Average BLEU for sequence length 23: 0.27705966028407175
checkpoint_name = '20250130_215832' #cerd, all, reconstruction = 2
Average BLEU for sequence length 1: 0.67185285110443
Average BLEU for sequence length 2: 0.6166135498220248
Average BLEU for sequence length 3: 0.5874677646983644
Average BLEU for sequence length 4: 0.5553821518395512
Average BLEU for sequence length 5: 0.5366407916203537
Average BLEU for sequence length 6: 0.5187443176658475
Average BLEU for sequence length 7: 0.5183197336685993
Average BLEU for sequence length 8: 0.49364036538859385
Average BLEU for sequence length 9: 0.49895067714699093
Average BLEU for sequence length 10: 0.4936348115636301
Average BLEU for sequence length 11: 0.4891890833903176
Average BLEU for sequence length 12: 0.4759351881269278
Average BLEU for sequence length 13: 0.485638741943618
Average BLEU for sequence length 14: 0.4834615031967877
Average BLEU for sequence length 15: 0.47999122793154697
Average BLEU for sequence length 16: 0.4744199368705333
Average BLEU for sequence length 17: 0.446744769288974
Average BLEU for sequence length 18: 0.4277635918112769
Average BLEU for sequence length 19: 0.4140439072707596
Average BLEU for sequence length 20: 0.4143137786235043
Average BLEU for sequence length 21: 0.41116738599195357
Average BLEU for sequence length 22: 0.37098048216864343
Average BLEU for sequence length 23: 0.27705966028407175
checkpoint_name = '20250130_220007' #cerd, all, reconstruction = 3
Average BLEU for sequence length 1: 0.6682208909582343
Average BLEU for sequence length 2: 0.6178193259590279
Average BLEU for sequence length 3: 0.5847840523076829
Average BLEU for sequence length 4: 0.5509501033142363
Average BLEU for sequence length 5: 0.5342034117303757
Average BLEU for sequence length 6: 0.520661517264168
Average BLEU for sequence length 7: 0.5128561516778436
Average BLEU for sequence length 8: 0.4885537837134078
Average BLEU for sequence length 9: 0.4986380762899856
Average BLEU for sequence length 10: 0.49547630964449285
Average BLEU for sequence length 11: 0.4927417123163563
Average BLEU for sequence length 12: 0.48215402441557825
Average BLEU for sequence length 13: 0.48592668762344626
Average BLEU for sequence length 14: 0.4888772647267582
Average BLEU for sequence length 15: 0.4834184088623784
Average BLEU for sequence length 16: 0.4782359200519911
Average BLEU for sequence length 17: 0.4538902201573767
Average BLEU for sequence length 18: 0.43620271835489144
Average BLEU for sequence length 19: 0.4177694260531994
Average BLEU for sequence length 20: 0.41754117097463594
Average BLEU for sequence length 21: 0.41301358161561463
Average BLEU for sequence length 22: 0.37098048216864343
Average BLEU for sequence length 23: 0.27705966028407175
checkpoint_name = '20250208_162240' #cerd, all, reconstruction = 4
Average BLEU for sequence length 1: 0.6565563673822633
Average BLEU for sequence length 2: 0.6067620450647443
Average BLEU for sequence length 3: 0.5759202332694188
Average BLEU for sequence length 4: 0.5419659786814309
Average BLEU for sequence length 5: 0.5315876620578979
Average BLEU for sequence length 6: 0.5067177822656233
Average BLEU for sequence length 7: 0.5064119229108964
Average BLEU for sequence length 8: 0.48768199305951976
Average BLEU for sequence length 9: 0.4859021108520076
Average BLEU for sequence length 10: 0.4882357602489975
Average BLEU for sequence length 11: 0.47681355373772105
Average BLEU for sequence length 12: 0.4635092886063753
Average BLEU for sequence length 13: 0.4769137294961334
Average BLEU for sequence length 14: 0.48256288984422124
Average BLEU for sequence length 15: 0.4808200813513504
Average BLEU for sequence length 16: 0.48681671981731267
Average BLEU for sequence length 17: 0.4552196795356883
Average BLEU for sequence length 18: 0.438434797214695
Average BLEU for sequence length 19: 0.4178170348982472
Average BLEU for sequence length 20: 0.416041833854732
Average BLEU for sequence length 21: 0.41150480550311785
Average BLEU for sequence length 22: 0.37244814162327444
Average BLEU for sequence length 23: 0.28735282217779823
checkpoint_name = '20250208_162301' #cerd, all, reconstruction = 5
Average BLEU for sequence length 1: 0.6704406416322667
Average BLEU for sequence length 2: 0.617666334629726
Average BLEU for sequence length 3: 0.5868945463236187
Average BLEU for sequence length 4: 0.550864289964067
Average BLEU for sequence length 5: 0.5446918168481939
Average BLEU for sequence length 6: 0.5248419571239896
Average BLEU for sequence length 7: 0.5188020750961827
Average BLEU for sequence length 8: 0.5007380817615316
Average BLEU for sequence length 9: 0.5035312938498759
Average BLEU for sequence length 10: 0.5048238714614188
Average BLEU for sequence length 11: 0.5015244887416446
Average BLEU for sequence length 12: 0.4846978980175524
Average BLEU for sequence length 13: 0.48687916577117535
Average BLEU for sequence length 14: 0.4865107663362676
Average BLEU for sequence length 15: 0.4813945444630294
Average BLEU for sequence length 16: 0.4725389464185283
Average BLEU for sequence length 17: 0.4470288666109122
Average BLEU for sequence length 18: 0.4276465802485342
Average BLEU for sequence length 19: 0.4132620269513582
Average BLEU for sequence length 20: 0.4139199529033595
Average BLEU for sequence length 21: 0.4088971897243705
Average BLEU for sequence length 22: 0.37098048216864343
Average BLEU for sequence length 23: 0.27705966028407175

